POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
73296005;20250101;0,1;1;;;-12,0;1;224;9;2,1;1;1220;9;-5,8;1;-4,95;1;;;;;1323;9;14,1;1;-5,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;1220;9;76;1;18;9;176;9;0;9;2,0;9;;;51;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;95;1;94;1
73296005;20250102;16,9;1;;;-6,0;1;1943;9;0,3;1;1054;9;-2,9;1;-2,85;1;;;;;1404;9;6,3;1;-2,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;1614;9;95;1;2147;9;658;9;362;9;2,6;9;;;53;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;108;1;94;1
73296005;20250103;0,4;1;;;-17,5;1;1800;9;-4,6;1;1146;9;-11,2;1;-11,05;1;;;;;1440;9;12,9;1;-11,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;1;1427;9;94;1;1;9;0;9;360;9;2,1;9;;;72;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;121;1;121;1
73296005;20250104;12,7;1;;;-20,2;1;36;9;2,1;1;1356;9;-7,7;1;-9,05;1;;;;;1276;9;22,3;1;-9,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;1;1132;9;96;1;1912;9;127;9;402;9;2,8;9;;;69;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;118;1;117;1
73296005;20250105;0,4;1;;;-2,8;1;1801;9;6,9;1;1915;9;3,7;1;2,05;1;;;;;42;9;9,7;1;2,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;1;2336;9;96;1;1;9;285;9;430;9;5,0;9;;;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;117;1;114;1
73296005;20250106;4,5;1;;;1,6;1;1732;9;3,9;1;1214;9;2,1;1;2,75;1;;;;;190;9;2,3;1;2,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;1;120;9;94;1;2306;9;438;9;160;9;3,4;9;;;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,8;9;;;;;;;;;112;1;106;1
73296005;20250107;10,0;1;;;-8,8;1;752;9;0,1;1;427;9;-4,8;1;-4,35;1;;;;;1440;9;8,9;1;-4,4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;1;249;9;92;1;1;9;0;9;170;9;2,7;9;;;63;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;114;1;113;1
73296005;20250108;16,0;1;;;-7,9;1;1818;9;4,9;1;1202;9;0,8;1;-1,50;1;;;;;430;9;12,8;1;-1,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;1;2007;9;97;1;422;9;0;9;707;9;5,0;9;;;78;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;9;;;;;;;;;118;1;116;1
73296005;20250109;12,1;1;;;-1,7;1;1449;9;1,7;1;856;9;-0,6;1;0,00;1;;;;;991;9;3,4;1;0,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;1;2320;9;96;1;1;9;0;9;1007;9;4,8;9;;;82;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;130;1;117;1
73296005;20250110;30,8;1;;;-6,8;1;626;9;1,1;1;2104;9;-3,4;1;-2,85;1;;;;;1280;9;7,9;1;-2,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;1;10;9;96;1;1933;9;0;9;1011;9;4,1;9;;;85;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;144;1;128;1
73296005;20250111;0,5;1;;;-5,6;1;1757;9;-0,7;1;1234;9;-3,8;1;-3,15;1;;;;;1440;9;4,9;1;-3,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;1;149;9;94;1;1828;9;0;9;672;9;3,5;9;;;77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;143;1;141;1
73296005;20250112;0,0;1;;;-17,8;1;1749;9;-6,9;1;1229;9;-12,7;1;-12,35;1;;;;;1440;9;10,9;1;-12,4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;1;2303;9;88;1;321;9;0;9;513;9;1,8;9;;;74;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;137;1;136;1
73296005;20250113;0,0;1;;;-19,8;1;1937;9;-0,4;1;1104;9;-8,3;1;-10,10;1;;;;;1440;9;19,4;1;-10,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;1051;9;65;1;5;9;869;9;0;9;1,1;9;;;36;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;135;1;135;1
73296005;20250114;0,0;1;;;-11,6;1;211;9;2,6;1;1326;9;-7,2;1;-4,50;1;;;;;1333;9;14,2;1;-4,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;1;1224;9;60;1;1857;9;450;9;0;9;1,6;9;;;45;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;132;1;132;1
73296005;20250115;0,0;1;;;-11,5;1;108;9;1,6;1;1240;9;-7,2;1;-4,95;1;;;;;1403;9;13,1;1;-5,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;1;1243;9;67;1;220;9;214;9;0;9;1,8;9;;;51;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;130;1;130;1
73296005;20250116;0,0;1;;;-10,4;1;1801;9;-0,6;1;1332;9;-4,5;1;-5,50;1;;;;;1440;9;9,8;1;-5,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;1;1318;9;60;1;444;9;248;9;0;9;2,0;9;;;46;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;129;1;128;1
73296005;20250117;0,0;1;;;-10,2;1;400;9;1,1;1;1257;9;-6,2;1;-4,55;1;;;;;1390;9;11,3;1;-4,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;2255;9;70;1;328;9;157;9;0;9;1,9;9;;;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;;;;;;;;;126;1;126;1
73296005;20250118;0,0;1;;;-9,5;1;1805;9;2,4;1;1327;9;-1,1;1;-3,55;1;;;;;1001;9;11,9;1;-3,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;15;9;56;1;646;9;545;9;0;9;2,3;9;;;41;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;;;;;;;;;125;1;124;1
73296005;20250119;0,0;1;;;-3,8;1;1615;9;0,5;1;1348;9;-2,4;1;-1,65;1;;;;;1431;9;4,3;1;-1,7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;1;118;9;85;1;547;9;0;9;77;9;3,3;9;;;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;123;1;122;1
73296005;20250120;0,4;1;;;-7,3;1;623;9;0,8;1;1308;9;-3,8;1;-3,25;1;;;;;1387;9;8,1;1;-3,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;1;1313;9;75;1;2220;9;0;9;0;9;2,9;9;;;63;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;123;1;122;1
73296005;20250121;0,3;1;;;-8,2;1;317;9;0,3;1;600;9;-5,0;1;-3,95;1;;;;;1437;9;8,5;1;-4,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;1;2132;9;75;1;121;9;0;9;0;9;2,5;9;;;60;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;122;1;120;1
73296005;20250122;2,5;1;;;-7,5;1;2005;9;5,0;1;1204;9;0,3;1;-1,25;1;;;;;698;9;12,5;1;-1,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;1;106;9;83;1;848;9;3;9;72;9;3,9;9;;;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;120;1;120;1
73296005;20250123;5,9;1;;;-8,5;1;1753;9;0,6;1;1109;9;-3,8;1;-3,95;1;;;;;1354;9;9,1;1;-4,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;1;2347;9;96;1;630;9;0;9;992;9;4,0;9;;;83;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;126;1;119;1
73296005;20250124;0,2;1;;;-12,7;1;2316;9;5,6;1;331;9;-1,5;1;-3,55;1;;;;;853;9;18,3;1;-3,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;1;1154;9;58;1;1;9;634;9;0;9;2,3;9;;;41;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;;;;;;;;;126;1;125;1
73296005;20250125;3,3;1;;;-2,5;1;1814;9;5,4;1;604;9;2,8;1;1,45;1;;;;;26;9;7,9;1;1,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;1;711;9;75;1;0;9;203;9;0;9;3,6;9;;;48;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;;;;;;;;;124;1;123;1
73296005;20250126;2,1;1;;;-11,4;1;955;9;3,0;1;108;9;-3,7;1;-4,20;1;;;;;1311;9;14,4;1;-4,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;1;1305;9;94;1;44;9;127;9;907;9;3,4;9;;;74;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;129;1;128;1
73296005;20250127;24,6;1;;;-2,9;1;1923;9;6,1;1;1340;9;2,9;1;1,60;1;;;;;166;9;9,0;1;1,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;1;1823;9;96;1;2124;9;19;9;495;9;5,2;9;;;70;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;129;1;125;1
73296005;20250128;12,5;1;;;-5,8;1;1609;9;-3,4;1;1143;9;-4,0;1;-4,60;1;;;;;1356;9;2,4;1;-4,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;1;1;9;96;1;149;9;0;9;1012;9;3,8;9;;;84;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;165;1;152;1
73296005;20250129;0,3;1;;;-11,0;1;942;9;-1,0;1;2226;9;-5,3;1;-6,00;1;;;;;1440;9;10,0;1;-6,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;1257;9;91;1;647;9;324;9;389;9;2,4;9;;;58;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;171;1;171;1
73296005;20250130;0,2;1;;;-8,7;1;1950;9;4,6;1;1207;9;-2,7;1;-2,05;1;;;;;1171;9;13,3;1;-2,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;1;1209;9;82;1;2329;9;1;9;39;9;2,9;9;;;58;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;162;1;160;1
73296005;20250131;1,4;1;;;-10,2;1;2303;9;1,6;1;1020;9;-5,0;1;-4,30;1;;;;;1409;9;11,8;1;-4,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;1;1022;9;92;1;2207;9;0;9;438;9;3,1;9;;;73;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;152;1;151;1
