POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
73296005;20220101;0,0;1;;;-6,1;1;246;9;8,6;1;1226;9;-1,5;1;1,25;1;;;;;1179;9;14,7;1;1,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;1;1222;9;83;1;252;9;51;9;17;9;3,3;9;;;61;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;9;;;;;;;;;109;1;109;1
73296005;20220102;0,0;1;;;-5,0;1;236;9;7,2;1;1337;9;0,6;1;1,10;1;;;;;636;9;12,2;1;1,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;1;1127;9;76;1;2308;9;69;9;0;9;3,7;9;;;57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;;;;;;;;;107;1;106;1
73296005;20220103;0,5;1;;;-6,3;1;715;9;6,4;1;526;9;-1,4;1;0,05;1;;;;;1003;9;12,7;1;0,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;1;1504;9;95;1;2351;9;0;9;132;9;4,1;9;;;73;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;105;1;103;1
73296005;20220104;2,7;1;;;-4,2;1;1801;9;7,2;1;1012;9;4,1;1;1,50;1;;;;;68;9;11,4;1;1,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;1;1724;9;95;1;1;9;77;9;367;9;5,3;9;;;66;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;103;1;102;1
73296005;20220105;0,9;1;;;-10,4;1;1751;9;-3,8;1;1113;9;-6,8;1;-7,10;1;;;;;1436;9;6,6;1;-7,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;1;1112;9;98;1;133;9;0;9;1179;9;3,3;9;;;85;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;103;1;100;1
73296005;20220106;0,0;1;;;-19,8;1;617;9;-6,7;1;1254;9;-15,6;1;-13,25;1;;;;;1440;9;13,1;1;-13,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;1;1140;9;91;1;240;9;7;9;496;9;1,3;9;;;71;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;103;1;103;1
73296005;20220107;4,6;1;;;-18,3;1;143;9;-3,3;1;1227;9;-11,2;1;-10,80;1;;;;;1440;9;15,0;1;-10,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;1;1323;9;92;1;1651;9;147;9;196;9;1,7;9;;;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;103;1;101;1
73296005;20220108;10,8;1;;;-9,9;1;1807;9;-2,4;1;103;9;-7,3;1;-6,15;1;;;;;1440;9;7,5;1;-6,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;1;727;9;100;1;2311;9;0;9;909;9;2,8;9;;;79;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;118;1;111;1
73296005;20220109;2,3;1;;;-8,4;1;837;9;-6,6;1;1912;9;-7,3;1;-7,50;1;;;;;1440;9;1,8;1;-7,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;1;530;9;97;1;1;9;0;9;838;9;2,9;9;;;81;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;135;1;128;1
73296005;20220110;0,0;1;;;-16,3;1;1729;9;-7,4;1;1345;9;-12,2;1;-11,85;1;;;;;1440;9;8,9;1;-11,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;1;1323;9;95;1;7;9;0;9;742;9;2,0;9;;;79;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;134;1;132;1
