POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
73296005;20240101;0,0;1;;;-12,6;1;1612;9;-1,0;1;545;9;-8,4;1;-6,80;1;;;;;1440;9;11,6;1;-6,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;1;1206;9;96;1;358;9;0;9;785;9;2,6;9;;;79;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;107;1;106;1
73296005;20240102;17,3;1;;;-12,2;1;2151;9;1,9;1;1218;9;-2,6;1;-5,15;1;;;;;1373;9;14,1;1;-5,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;1;353;9;100;1;1907;9;0;9;1067;9;4,5;9;;;87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;9;;;;;;;;;119;1;102;1
73296005;20240103;11,2;1;;;-4,5;1;752;9;2,8;1;1213;9;-0,7;1;-0,85;1;;;;;1027;9;7,3;1;-0,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;1;1304;9;93;1;2343;9;28;9;397;9;3,8;9;;;65;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;125;1;118;1
73296005;20240104;0,5;1;;;-8,5;1;1747;9;2,2;1;2248;9;-3,5;1;-3,15;1;;;;;1349;9;10,7;1;-3,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;2236;9;89;1;316;9;94;9;273;9;2,9;9;;;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;131;1;131;1
73296005;20240105;10,2;1;;;-8,2;1;1801;9;-0,5;1;1143;9;-1,9;1;-4,35;1;;;;;1271;9;7,7;1;-4,4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;1;2;9;99;1;1916;9;44;9;1081;9;4,5;9;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;9;;;;;;;;;134;1;124;1
73296005;20240106;1,8;1;;;-6,2;1;1738;9;-4,1;1;922;9;-5,3;1;-5,15;1;;;;;1440;9;2,1;1;-5,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;1;1556;9;99;1;1;9;0;9;1440;9;3,9;9;;;93;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;9;;;;;;;;;135;1;131;1
73296005;20240107;1,3;1;;;-8,4;1;724;9;-4,8;1;1136;9;-7,6;1;-6,60;1;;;;;1440;9;3,6;1;-6,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;1;1138;9;94;1;441;9;0;9;1414;9;3,0;9;;;88;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;137;1;134;1
73296005;20240108;0,0;1;;;-11,7;1;522;9;-2,7;1;1152;9;-7,6;1;-7,20;1;;;;;1440;9;9,0;1;-7,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;1;1149;9;96;1;1427;9;0;9;1172;9;3,0;9;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;136;1;135;1
73296005;20240109;0,2;1;;;-7,7;1;2032;9;-0,9;1;957;9;-3,3;1;-4,30;1;;;;;1440;9;6,8;1;-4,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;1;2233;9;87;1;1454;9;0;9;25;9;3,3;9;;;68;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;131;1;130;1
73296005;20240110;0,1;1;;;-6,7;1;647;9;-2,8;1;1526;9;-4,4;1;-4,75;1;;;;;1440;9;3,9;1;-4,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;1;1358;9;73;1;1752;9;0;9;0;9;2,8;9;;;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;127;1;127;1
