POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
73296005;20210101;0,0;1;;;-7,6;1;1539;9;-3,4;1;1308;9;-6,1;1;-5,50;1;;;;;1440;9;4,2;1;-5,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;1;432;9;77;1;19;9;0;9;0;9;2,7;9;;;69;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;56;9;55;9
73296005;20210102;2,4;1;;;-9,2;1;2200;9;-3,1;1;1112;9;-5,9;1;-6,15;1;;;;;1440;9;6,1;1;-6,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;1;153;9;97;1;1842;9;0;9;716;9;3,2;9;;;82;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;59;9;56;9
73296005;20210103;0,8;1;;;-11,8;1;534;9;-3,1;1;1348;9;-8,9;1;-7,45;1;;;;;1440;9;8,7;1;-7,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;1;2248;9;97;1;327;9;0;9;769;9;2,5;9;;;78;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;59;9;57;9
73296005;20210104;5,5;1;;;-12,8;1;2220;9;-4,0;1;1242;9;-7,0;1;-8,40;1;;;;;1440;9;8,8;1;-8,4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;1;1;9;94;1;736;9;0;9;566;9;2,8;9;;;77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;9;;;;;;;;;67;9;58;9
73296005;20210105;0,0;1;;;-12,5;1;338;9;-5,5;1;1057;9;-10,0;1;-9,00;1;;;;;1440;9;7,0;1;-9,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;1;1054;9;95;1;2233;9;0;9;197;9;2,0;9;;;70;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;67;9;66;9
73296005;20210106;0,0;1;;;-18,5;1;1739;9;-6,6;1;1218;9;-14,3;1;-12,55;1;;;;;1440;9;11,9;1;-12,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;1;1114;9;92;1;33;9;0;9;784;9;1,6;9;;;78;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;63;9;61;9
73296005;20210107;0,0;1;;;-19,1;1;2010;9;-4,8;1;1205;9;-15,0;1;-11,95;1;;;;;1440;9;14,3;1;-12,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;1;1138;9;89;1;13;9;241;9;78;9;1,1;9;;;57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;62;9;62;9
73296005;20210108;0,0;1;;;-19,4;1;2209;9;-6,0;1;1314;9;-14,9;1;-12,70;1;;;;;1440;9;13,4;1;-12,7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;1;1318;9;82;1;924;9;115;9;3;9;1,0;9;;;55;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;61;9;61;9
73296005;20210109;0,0;1;;;-16,6;1;1801;9;-3,7;1;1241;9;-8,6;1;-10,15;1;;;;;1440;9;12,9;1;-10,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;1;1150;9;65;1;344;9;399;9;0;9;1,4;9;;;44;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;60;9;60;9
73296005;20210110;0,0;1;;;-13,3;1;1744;9;-1,9;1;1141;9;-10,2;1;-7,60;1;;;;;1440;9;11,4;1;-7,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;1140;9;57;1;222;9;442;9;0;9;1,3;9;;;43;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;61;9;59;9
73296005;20210111;0,0;1;;;-16,5;1;321;9;-2,1;1;1303;9;-12,8;1;-9,30;1;;;;;1440;9;14,4;1;-9,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;1;1144;9;86;1;938;9;334;9;4;9;1,0;9;;;45;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;60;9;59;9
73296005;20210112;12,6;1;;;-14,6;1;1837;9;-2,1;1;527;9;-8,7;1;-8,35;1;;;;;1440;9;12,5;1;-8,4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;1;37;9;97;1;2009;9;0;9;579;9;2,4;9;;;70;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;74;9;59;9
73296005;20210113;7,0;1;;;-7,3;1;1820;9;-1,1;1;950;9;-3,3;1;-4,20;1;;;;;1440;9;6,2;1;-4,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;1;1224;9;99;1;2101;9;160;9;822;9;3,6;9;;;76;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;9;;;;;;;;;90;9;82;9
73296005;20210114;14,5;1;;;-6,1;1;1810;9;-1,6;1;1644;9;-3,0;1;-3,85;1;;;;;1440;9;4,5;1;-3,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;1;808;9;96;1;1839;9;0;9;761;9;4,0;9;;;82;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;9;;;;;;;;;91;9;87;9
73296005;20210115;0,6;1;;;-7,5;1;1742;9;-3,5;1;613;9;-6,3;1;-5,50;1;;;;;1440;9;4,0;1;-5,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;1;412;9;96;1;1;9;0;9;1365;9;3,5;9;;;89;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;9;;;;;;;;;106;9;103;9
