1,SU-17072,0113920521,2025,8,20,16,19,33,0,912,298,90
1,SU-17072,0113920521,2025,8,20,16,19,33,300,910,298,72
1,SU-17072,0113920521,2025,8,20,16,19,33,600,911,298,57
1,SU-17072,0113920521,2025,8,20,16,19,33,900,911,298,46
1,SU-17072,0113920521,2025,8,20,16,19,33,1200,911,298,39
1,SU-17072,0113920521,2025,8,20,16,19,33,1500,911,298,33
1,SU-17072,0113920521,2025,8,20,16,19,33,1800,911,298,31
1,SU-17072,0113920521,2025,8,20,16,19,33,2100,911,298,07
1,SU-17072,0113920521,2025,8,20,16,19,33,2400,907,296,79
1,SU-17072,0113920521,2025,8,20,16,19,33,2700,903,296,34
1,SU-17072,0113920521,2025,8,20,16,19,33,3000,932,296,12
1,SU-17072,0113920521,2025,8,20,16,19,33,3300,960,296,09
1,SU-17072,0113920521,2025,8,20,16,19,33,3600,966,296,12
1,SU-17072,0113920521,2025,8,20,16,19,33,3900,973,296,22
1,SU-17072,0113920521,2025,8,20,16,19,33,4200,971,296,35
1,SU-17072,0113920521,2025,8,20,16,19,33,4500,970,296,86
1,SU-17072,0113920521,2025,8,20,16,19,33,4800,970,297,01
1,SU-17072,0113920521,2025,8,20,16,19,33,5100,967,297,12
1,SU-17072,0113920521,2025,8,20,16,19,33,5400,964,297,21
1,SU-17072,0113920521,2025,8,20,16,19,33,5700,959,297,30
1,SU-17072,0113920521,2025,8,20,16,19,33,6000,957,297,45
1,SU-17072,0113920521,2025,8,20,16,19,33,6300,957,298,21
1,SU-17072,0113920521,2025,8,20,16,19,33,6600,957,297,39
1,SU-17072,0113920521,2025,8,20,16,19,33,6900,957,296,68
1,SU-17072,0113920521,2025,8,20,16,19,33,7200,958,296,56
1,SU-17072,0113920521,2025,8,20,16,19,33,7500,958,296,84
1,SU-17072,0113920521,2025,8,20,16,19,33,7800,958,297,02
1,SU-17072,0113920521,2025,8,20,16,19,33,8100,957,297,13
1,SU-17072,0113920521,2025,8,20,16,19,33,8400,957,297,23
1,SU-17072,0113920521,2025,8,20,16,19,33,8700,957,297,30
1,SU-17072,0113920521,2025,8,20,16,19,33,9000,957,297,35
1,SU-17072,0113920521,2025,8,20,16,19,33,9300,957,297,39
1,SU-17072,0113920521,2025,8,20,16,19,33,9600,957,297,42
1,SU-17072,0113920521,2025,8,20,16,19,33,9900,957,297,44
1,SU-17072,0113920521,2025,8,20,16,19,33,10200,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,10500,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,10800,957,297,48
1,SU-17072,0113920521,2025,8,20,16,19,33,11100,957,297,49
1,SU-17072,0113920521,2025,8,20,16,19,33,11400,957,297,53
1,SU-17072,0113920521,2025,8,20,16,19,33,11700,956,297,57
1,SU-17072,0113920521,2025,8,20,16,19,33,12000,957,297,57
1,SU-17072,0113920521,2025,8,20,16,19,33,12300,957,297,56
1,SU-17072,0113920521,2025,8,20,16,19,33,12600,957,297,55
1,SU-17072,0113920521,2025,8,20,16,19,33,12900,957,297,55
1,SU-17072,0113920521,2025,8,20,16,19,33,13200,957,297,54
1,SU-17072,0113920521,2025,8,20,16,19,33,13500,956,297,52
1,SU-17072,0113920521,2025,8,20,16,19,33,13800,957,297,50
1,SU-17072,0113920521,2025,8,20,16,19,33,14100,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,14400,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,14700,957,297,48
1,SU-17072,0113920521,2025,8,20,16,19,33,15000,957,297,48
1,SU-17072,0113920521,2025,8,20,16,19,33,15300,957,297,49
1,SU-17072,0113920521,2025,8,20,16,19,33,15600,957,297,48
1,SU-17072,0113920521,2025,8,20,16,19,33,15900,958,297,48
1,SU-17072,0113920521,2025,8,20,16,19,33,16200,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,16500,958,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,16800,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,17100,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,17400,957,297,47
1,SU-17072,0113920521,2025,8,20,16,19,33,17700,957,297,49
1,SU-17072,0113920521,2025,8,20,16,19,33,18000,957,297,50
1,SU-17072,0113920521,2025,8,20,16,19,33,18300,957,297,52
1,SU-17072,0113920521,2025,8,20,16,19,33,18600,957,297,53
1,SU-17072,0113920521,2025,8,20,16,19,33,18900,957,297,54
1,SU-17072,0113920521,2025,8,20,16,19,33,19200,957,297,55
1,SU-17072,0113920521,2025,8,20,16,19,33,19500,957,297,56
1,SU-17072,0113920521,2025,8,20,16,19,33,19800,957,297,57
1,SU-17072,0113920521,2025,8,20,16,19,33,20100,957,297,58
1,SU-17072,0113920521,2025,8,20,16,19,33,20400,957,297,59
1,SU-17072,0113920521,2025,8,20,16,19,33,20700,957,297,60
1,SU-17072,0113920521,2025,8,20,16,19,33,21000,956,297,61
1,SU-17072,0113920521,2025,8,20,16,19,33,21300,957,297,61
1,SU-17072,0113920521,2025,8,20,16,19,33,21600,957,297,62
1,SU-17072,0113920521,2025,8,20,16,19,33,21900,957,297,61
1,SU-17072,0113920521,2025,8,20,16,19,33,22200,956,297,60
1,SU-17072,0113920521,2025,8,20,16,19,33,22500,956,297,60
1,SU-17072,0113920521,2025,8,20,16,19,33,22800,957,297,62
1,SU-17072,0113920521,2025,8,20,16,19,33,23100,956,297,63
1,SU-17072,0113920521,2025,8,20,16,19,33,23400,956,297,63
1,SU-17072,0113920521,2025,8,20,16,19,33,23700,956,297,66
