Date;Temp
13/10/2021 06:39;-0.4
13/10/2021 07:39;-0.4
13/10/2021 08:39;-0.3
13/10/2021 09:39;-0.5
13/10/2021 10:39;-0.1
13/10/2021 11:39;0
13/10/2021 12:39;0
13/10/2021 13:39;0.1
13/10/2021 14:39;0.1
13/10/2021 15:39;0.1
13/10/2021 16:39;0
13/10/2021 17:39;0.1
13/10/2021 18:39;-0.1
13/10/2021 19:39;-0.1
13/10/2021 20:39;-0.1
13/10/2021 21:39;-0.1
13/10/2021 22:39;0
13/10/2021 23:39;-0.3
14/10/2021 00:39;-0.3
14/10/2021 01:39;-0.2
14/10/2021 02:39;-0.4
14/10/2021 03:39;-0.2
14/10/2021 04:39;-0.2
14/10/2021 05:39;-0.2
14/10/2021 06:39;-0.4
14/10/2021 07:39;-0.2
14/10/2021 08:39;0
14/10/2021 09:39;0
14/10/2021 10:39;0.1
14/10/2021 11:39;0.1
14/10/2021 12:39;0.2
14/10/2021 13:39;0.2
14/10/2021 14:39;0.2
14/10/2021 15:39;0.2
14/10/2021 16:39;0.2
14/10/2021 17:39;0.3
14/10/2021 18:39;0.1
14/10/2021 19:39;0.2
14/10/2021 20:39;0.2
14/10/2021 21:39;0.1
14/10/2021 22:39;0.2
14/10/2021 23:39;0.2
15/10/2021 00:39;-0.1
15/10/2021 01:39;0.1
15/10/2021 02:39;-0.1
15/10/2021 03:39;-0.2
15/10/2021 04:39;-0.6
15/10/2021 05:39;-0.5
15/10/2021 06:39;-0.4
15/10/2021 07:39;-0.6
15/10/2021 08:39;-0.3
15/10/2021 09:39;-0.1
15/10/2021 10:39;0
15/10/2021 11:39;0
15/10/2021 12:39;0.1
15/10/2021 13:39;0.1
15/10/2021 14:39;0.2
15/10/2021 15:39;0.2
15/10/2021 16:39;0.2
15/10/2021 17:39;0.2
15/10/2021 18:39;0.2
15/10/2021 19:39;0.2
15/10/2021 20:39;0.1
15/10/2021 21:39;0.1
15/10/2021 22:39;0.1
15/10/2021 23:39;0.1
16/10/2021 00:39;0.1
16/10/2021 01:39;0.1
16/10/2021 02:39;0.1
16/10/2021 03:39;0.1
16/10/2021 04:39;0
16/10/2021 05:39;-0.1
16/10/2021 06:39;0
16/10/2021 07:39;0
16/10/2021 08:39;0
16/10/2021 09:39;0.1
16/10/2021 10:39;0.2
16/10/2021 11:39;0.2
16/10/2021 12:39;0.3
16/10/2021 13:39;0.3
16/10/2021 14:39;0.3
16/10/2021 15:39;0.3
16/10/2021 16:39;0.4
16/10/2021 17:39;0.3
16/10/2021 18:39;0.2
16/10/2021 19:39;0.2
16/10/2021 20:39;0.2
16/10/2021 21:39;0.1
16/10/2021 22:39;0.1
16/10/2021 23:39;0
17/10/2021 00:39;0
17/10/2021 01:39;0
17/10/2021 02:39;0
17/10/2021 03:39;-0.1
17/10/2021 04:39;0
17/10/2021 05:39;0
17/10/2021 06:39;-0.1
